"prod-descr";"prod-marca";"prod-URL";"prod-preco";"prod-detalhe";"prod-comentario";"prod-aval";"data_ref";"spo-temp";"spo-umid";"spo-uv";"bra-temp";"bra-umid";"bra-uv";"pve-temp";"pve-umid";"pve-uv";"flo-temp";"flo-umid";"flo-uv";"rj-temp";"rj-umid";"rj-uv"
" NIVEA  Sun Tripla Proteção Pele Radiante FPS 50 - Protetor Solar Facial 40ml ";" NIVEA ";"https://www.belezanaweb.com.br/nivea-sun-tripla-protecao-pele-radiante-fps-50-protetor-solar-facial-40ml/";"29,90";"Protetor solar facial. NIVEA Sun Tripla Proteção Pele Radiante FPS 50 é indicado para peles muito sensíveis à exposição solar, protege contra os raios UVA/UVB, luz visível e poluição.O Protetor Solar Facial NIVEA Sun Tripla Proteção Pele Radiante FPS 50 entrega uma textura ultraleve e não pesa no rosto. Sua fórmula contém extrato de Rosa de Hokkaido que possui alto poder antioxidante, hidrata e suaviza a pele deixando-a mais uniforme a partir de 2 semanas.";"Amei o produto! O cheirinho dele me chamou atenção logo quando abri, um cheirinho gostoso, lembra hidratante corporal, nao tem aquele cheiro de protetor solar forte. Tenho pele oleosa e ele ficou sequinho na minha pele, muito gostoso de usar, ele absorve rápido, sinto a pele saudável, leve após usar. Uso no dia a dia, como ficar em casa! Comprei num valor promocional e chegou em menos de uma semana junto com outros produtos, super compraria novamente!!!";"4.7";"08/09/2024 17:14:45";33.1;23;8;30.1;21;8;36.2;39;11;23.2;78;7;28.3;66;7
" NIVEA  Sun Tripla Proteção Pele Radiante FPS 50 - Protetor Solar Facial 40ml ";" NIVEA ";"https://www.belezanaweb.com.br/nivea-sun-tripla-protecao-pele-radiante-fps-50-protetor-solar-facial-40ml/";"29,90";"Protetor solar facial. NIVEA Sun Tripla Proteção Pele Radiante FPS 50 é indicado para peles muito sensíveis à exposição solar, protege contra os raios UVA/UVB, luz visível e poluição.O Protetor Solar Facial NIVEA Sun Tripla Proteção Pele Radiante FPS 50 entrega uma textura ultraleve e não pesa no rosto. Sua fórmula contém extrato de Rosa de Hokkaido que possui alto poder antioxidante, hidrata e suaviza a pele deixando-a mais uniforme a partir de 2 semanas.";"Eu adorei esse protetor, minha pele é sensível e aceitou super bem, sem provocar acne ou vermelhidão. Deixa um aspecto radiante e saudável.";"4.7";"08/09/2024 17:14:45";33.1;23;8;30.1;21;8;36.2;39;11;23.2;78;7;28.3;66;7
" NIVEA  Sun Tripla Proteção Pele Radiante FPS 50 - Protetor Solar Facial 40ml ";" NIVEA ";"https://www.belezanaweb.com.br/nivea-sun-tripla-protecao-pele-radiante-fps-50-protetor-solar-facial-40ml/";"29,90";"Protetor solar facial. NIVEA Sun Tripla Proteção Pele Radiante FPS 50 é indicado para peles muito sensíveis à exposição solar, protege contra os raios UVA/UVB, luz visível e poluição.O Protetor Solar Facial NIVEA Sun Tripla Proteção Pele Radiante FPS 50 entrega uma textura ultraleve e não pesa no rosto. Sua fórmula contém extrato de Rosa de Hokkaido que possui alto poder antioxidante, hidrata e suaviza a pele deixando-a mais uniforme a partir de 2 semanas.";"Produto otimo, gostei da absorção, não apareceu espinhas.";"4.7";"08/09/2024 17:14:45";33.1;23;8;30.1;21;8;36.2;39;11;23.2;78;7;28.3;66;7
" NIVEA  Sun Tripla Proteção Pele Radiante FPS 50 - Protetor Solar Facial 40ml ";" NIVEA ";"https://www.belezanaweb.com.br/nivea-sun-tripla-protecao-pele-radiante-fps-50-protetor-solar-facial-40ml/";"29,90";"Protetor solar facial. NIVEA Sun Tripla Proteção Pele Radiante FPS 50 é indicado para peles muito sensíveis à exposição solar, protege contra os raios UVA/UVB, luz visível e poluição.O Protetor Solar Facial NIVEA Sun Tripla Proteção Pele Radiante FPS 50 entrega uma textura ultraleve e não pesa no rosto. Sua fórmula contém extrato de Rosa de Hokkaido que possui alto poder antioxidante, hidrata e suaviza a pele deixando-a mais uniforme a partir de 2 semanas.";"Excelente para pele oleosa.";"4.7";"08/09/2024 17:14:45";33.1;23;8;30.1;21;8;36.2;39;11;23.2;78;7;28.3;66;7
" NIVEA  Sun Tripla Proteção Pele Radiante FPS 50 - Protetor Solar Facial 40ml ";" NIVEA ";"https://www.belezanaweb.com.br/nivea-sun-tripla-protecao-pele-radiante-fps-50-protetor-solar-facial-40ml/";"29,90";"Protetor solar facial. NIVEA Sun Tripla Proteção Pele Radiante FPS 50 é indicado para peles muito sensíveis à exposição solar, protege contra os raios UVA/UVB, luz visível e poluição.O Protetor Solar Facial NIVEA Sun Tripla Proteção Pele Radiante FPS 50 entrega uma textura ultraleve e não pesa no rosto. Sua fórmula contém extrato de Rosa de Hokkaido que possui alto poder antioxidante, hidrata e suaviza a pele deixando-a mais uniforme a partir de 2 semanas.";"Recomendo.";"4.7";"08/09/2024 17:14:45";33.1;23;8;30.1;21;8;36.2;39;11;23.2;78;7;28.3;66;7
" Bioré  Aqua Rich Watery Essence FPS 50 - Protetor Solar Facial e Corporal 70g ";" Bioré ";"https://www.belezanaweb.com.br/biore-aqua-rich-watery-essence-fps-50-protetor-solar-facial-e-corporal-70g/";"77,90";"Protetor solar facial e corporal. Bioré Aqua Rich Watery Essence FPS 50 possui textura ultraleve, oferecendo alta proteção UVA e UVB, sem deixar a pele pegajosa após o uso.O Protetor Solar Facial e Corporal Bioré Aqua Rich Watery Essence FPS 50 conta com ativos como o Ácido Hialurônico e Extrato de Geleia Real, que atuam como agentes hidratantes. Sua fórmula gel aquosa promove sensação confortável e indicada para todos os tipos de pele, contém hialuronato de sódio e microcápsulas de água, conferindo capacidade de reter a água encontrada naturalmente na pele, por isso é um protetor rico em hidratação, leve e refrescante como água.Nova embalagem, mesma fórmula.";"Gostei muito, é bem sequinho e após secar não fica oleoso.";"4.7";"08/09/2024 17:14:45";33.1;23;8;30.1;21;8;36.2;39;11;23.2;78;7;28.3;66;7
" Bioré  Aqua Rich Watery Essence FPS 50 - Protetor Solar Facial e Corporal 70g ";" Bioré ";"https://www.belezanaweb.com.br/biore-aqua-rich-watery-essence-fps-50-protetor-solar-facial-e-corporal-70g/";"77,90";"Protetor solar facial e corporal. Bioré Aqua Rich Watery Essence FPS 50 possui textura ultraleve, oferecendo alta proteção UVA e UVB, sem deixar a pele pegajosa após o uso.O Protetor Solar Facial e Corporal Bioré Aqua Rich Watery Essence FPS 50 conta com ativos como o Ácido Hialurônico e Extrato de Geleia Real, que atuam como agentes hidratantes. Sua fórmula gel aquosa promove sensação confortável e indicada para todos os tipos de pele, contém hialuronato de sódio e microcápsulas de água, conferindo capacidade de reter a água encontrada naturalmente na pele, por isso é um protetor rico em hidratação, leve e refrescante como água.Nova embalagem, mesma fórmula.";"É bem aguadinho, nao gruda, nao mela, não esbranquiça, esses são os pontos positivos. Quando a durabilidade, dá impressão que gasta muito pelo fato da consistência aer suave e, portanto, acaba rapidinho! Vou usar por mais tempo para verificar sua efetividade. Mas o que eu amei mesmo foi nao ter ""cheiro"" e não irritar minha pele já que sou alérgica!";"4.7";"08/09/2024 17:14:45";33.1;23;8;30.1;21;8;36.2;39;11;23.2;78;7;28.3;66;7
" Bioré  Aqua Rich Watery Essence FPS 50 - Protetor Solar Facial e Corporal 70g ";" Bioré ";"https://www.belezanaweb.com.br/biore-aqua-rich-watery-essence-fps-50-protetor-solar-facial-e-corporal-70g/";"77,90";"Protetor solar facial e corporal. Bioré Aqua Rich Watery Essence FPS 50 possui textura ultraleve, oferecendo alta proteção UVA e UVB, sem deixar a pele pegajosa após o uso.O Protetor Solar Facial e Corporal Bioré Aqua Rich Watery Essence FPS 50 conta com ativos como o Ácido Hialurônico e Extrato de Geleia Real, que atuam como agentes hidratantes. Sua fórmula gel aquosa promove sensação confortável e indicada para todos os tipos de pele, contém hialuronato de sódio e microcápsulas de água, conferindo capacidade de reter a água encontrada naturalmente na pele, por isso é um protetor rico em hidratação, leve e refrescante como água.Nova embalagem, mesma fórmula.";"Muito bom espalha fácil";"4.7";"08/09/2024 17:14:45";33.1;23;8;30.1;21;8;36.2;39;11;23.2;78;7;28.3;66;7
" Bioré  Aqua Rich Watery Essence FPS 50 - Protetor Solar Facial e Corporal 70g ";" Bioré ";"https://www.belezanaweb.com.br/biore-aqua-rich-watery-essence-fps-50-protetor-solar-facial-e-corporal-70g/";"77,90";"Protetor solar facial e corporal. Bioré Aqua Rich Watery Essence FPS 50 possui textura ultraleve, oferecendo alta proteção UVA e UVB, sem deixar a pele pegajosa após o uso.O Protetor Solar Facial e Corporal Bioré Aqua Rich Watery Essence FPS 50 conta com ativos como o Ácido Hialurônico e Extrato de Geleia Real, que atuam como agentes hidratantes. Sua fórmula gel aquosa promove sensação confortável e indicada para todos os tipos de pele, contém hialuronato de sódio e microcápsulas de água, conferindo capacidade de reter a água encontrada naturalmente na pele, por isso é um protetor rico em hidratação, leve e refrescante como água.Nova embalagem, mesma fórmula.";"A textura é ótima, não tem cor e a textura é super leve, a pele fica hidratada e natural.";"4.7";"08/09/2024 17:14:45";33.1;23;8;30.1;21;8;36.2;39;11;23.2;78;7;28.3;66;7
" Bioré  Aqua Rich Watery Essence FPS 50 - Protetor Solar Facial e Corporal 70g ";" Bioré ";"https://www.belezanaweb.com.br/biore-aqua-rich-watery-essence-fps-50-protetor-solar-facial-e-corporal-70g/";"77,90";"Protetor solar facial e corporal. Bioré Aqua Rich Watery Essence FPS 50 possui textura ultraleve, oferecendo alta proteção UVA e UVB, sem deixar a pele pegajosa após o uso.O Protetor Solar Facial e Corporal Bioré Aqua Rich Watery Essence FPS 50 conta com ativos como o Ácido Hialurônico e Extrato de Geleia Real, que atuam como agentes hidratantes. Sua fórmula gel aquosa promove sensação confortável e indicada para todos os tipos de pele, contém hialuronato de sódio e microcápsulas de água, conferindo capacidade de reter a água encontrada naturalmente na pele, por isso é um protetor rico em hidratação, leve e refrescante como água.Nova embalagem, mesma fórmula.";"Melhor protetor solar do mundo. Não arde os olhos, espalha bem, não esfarela, completamente transparente.";"4.7";"08/09/2024 17:14:45";33.1;23;8;30.1;21;8;36.2;39;11;23.2;78;7;28.3;66;7
