"prod-descr";"prod-marca";"prod-URL";"prod-preco";"prod-detalhe";"prod-comentario";"prod-aval";"data_ref";"spo-temp";"spo-umid";"spo-uv";"bra-temp";"bra-umid";"bra-uv";"pve-temp";"pve-umid";"pve-uv";"flo-temp";"flo-umid";"flo-uv";"rj-temp";"rj-umid";"rj-uv"
" Australian Gold  Antipoluição FPS 30 - Protetor Solar Facial 50g ";" Australian Gold ";"https://www.belezanaweb.com.br/australian-gold-antipoluicao-fps-30-protetor-solar-facial-50g/";"30,90";"Protetor solar facial para todos os tipos de pele, com acabamento matte. Australian Gold Antipoluição FPS 30 promove alta proteção contra poluição, raios UVA/UVB e envelhecimento precoce do rosto.O Protetor Solar Facial Australian Gold Antipoluição FPS 30 apresenta a textura gel-creme, que é leve e de rápida absorção. Fórmula enriquecida com chá-verde e ameixa Kakadu, oil-free e resistente à água, indicada para pele muitos sensíveis à queimadura solar. Produto vegano, dermatologicamente testado, sem parabenos e oxibenzona.";"Cheirinho de rosas. Efeito matte.";"4.8";"23/08/2024 21:43:54";17.2;77;1;26.3;32;1;31.3;49;1;15.3;77;1;27;54;1
" Australian Gold  Antipoluição FPS 30 - Protetor Solar Facial 50g ";" Australian Gold ";"https://www.belezanaweb.com.br/australian-gold-antipoluicao-fps-30-protetor-solar-facial-50g/";"30,90";"Protetor solar facial para todos os tipos de pele, com acabamento matte. Australian Gold Antipoluição FPS 30 promove alta proteção contra poluição, raios UVA/UVB e envelhecimento precoce do rosto.O Protetor Solar Facial Australian Gold Antipoluição FPS 30 apresenta a textura gel-creme, que é leve e de rápida absorção. Fórmula enriquecida com chá-verde e ameixa Kakadu, oil-free e resistente à água, indicada para pele muitos sensíveis à queimadura solar. Produto vegano, dermatologicamente testado, sem parabenos e oxibenzona.";"Toque seco";"4.8";"23/08/2024 21:43:54";17.2;77;1;26.3;32;1;31.3;49;1;15.3;77;1;27;54;1
" Australian Gold  Antipoluição FPS 30 - Protetor Solar Facial 50g ";" Australian Gold ";"https://www.belezanaweb.com.br/australian-gold-antipoluicao-fps-30-protetor-solar-facial-50g/";"30,90";"Protetor solar facial para todos os tipos de pele, com acabamento matte. Australian Gold Antipoluição FPS 30 promove alta proteção contra poluição, raios UVA/UVB e envelhecimento precoce do rosto.O Protetor Solar Facial Australian Gold Antipoluição FPS 30 apresenta a textura gel-creme, que é leve e de rápida absorção. Fórmula enriquecida com chá-verde e ameixa Kakadu, oil-free e resistente à água, indicada para pele muitos sensíveis à queimadura solar. Produto vegano, dermatologicamente testado, sem parabenos e oxibenzona.";"Tem a pegada do Boticário mesmo, cheirinho de flores.Acredito que seja melhor do que o fabricado nos EUA. Não fica matte, acabamento é pele natural mesmo. Deixa um pouquinho oleosa a pele no final do dia.";"4.8";"23/08/2024 21:43:54";17.2;77;1;26.3;32;1;31.3;49;1;15.3;77;1;27;54;1
" Australian Gold  Antipoluição FPS 30 - Protetor Solar Facial 50g ";" Australian Gold ";"https://www.belezanaweb.com.br/australian-gold-antipoluicao-fps-30-protetor-solar-facial-50g/";"30,90";"Protetor solar facial para todos os tipos de pele, com acabamento matte. Australian Gold Antipoluição FPS 30 promove alta proteção contra poluição, raios UVA/UVB e envelhecimento precoce do rosto.O Protetor Solar Facial Australian Gold Antipoluição FPS 30 apresenta a textura gel-creme, que é leve e de rápida absorção. Fórmula enriquecida com chá-verde e ameixa Kakadu, oil-free e resistente à água, indicada para pele muitos sensíveis à queimadura solar. Produto vegano, dermatologicamente testado, sem parabenos e oxibenzona.";"Produto ótimo para o dia a dia.";"4.8";"23/08/2024 21:43:54";17.2;77;1;26.3;32;1;31.3;49;1;15.3;77;1;27;54;1
" Australian Gold  Antipoluição FPS 30 - Protetor Solar Facial 50g ";" Australian Gold ";"https://www.belezanaweb.com.br/australian-gold-antipoluicao-fps-30-protetor-solar-facial-50g/";"30,90";"Protetor solar facial para todos os tipos de pele, com acabamento matte. Australian Gold Antipoluição FPS 30 promove alta proteção contra poluição, raios UVA/UVB e envelhecimento precoce do rosto.O Protetor Solar Facial Australian Gold Antipoluição FPS 30 apresenta a textura gel-creme, que é leve e de rápida absorção. Fórmula enriquecida com chá-verde e ameixa Kakadu, oil-free e resistente à água, indicada para pele muitos sensíveis à queimadura solar. Produto vegano, dermatologicamente testado, sem parabenos e oxibenzona.";"Cheiro suave. É rapidamente absorvido pela pele, não interfere em nada na maquiagem. Estou usando diariamente há alguns dias e não senti aumento na oleosidade. Recomendo.";"4.8";"23/08/2024 21:43:54";17.2;77;1;26.3;32;1;31.3;49;1;15.3;77;1;27;54;1
" Mantecorp  Episol Intense Bruma FPS 50 - Protetor Solar Facial 200ml ";" Mantecorp ";"https://www.belezanaweb.com.br/mantecorp-episol-intense-bruma-fps-50-protetor-solar-facial-200ml/";"95,90";"Protetor Solar Facial. Mantecorp Episol Intense Bruma FPS 50 em spray, fácil de aplicar e com rápida absorção na pele. Possui ação hidratante e antioxidante.O Protetor Solar Facial Mantecorp Episol Intense Bruma FPS 50 possui alta proteção solar e pode ser usado em pele molhada. Sua textura é leve e possui um acabamento invisível.";"muito prático, adoro esse protetor";"5";"23/08/2024 21:43:54";17.2;77;1;26.3;32;1;31.3;49;1;15.3;77;1;27;54;1
" Mantecorp  Episol Intense Bruma FPS 50 - Protetor Solar Facial 200ml ";" Mantecorp ";"https://www.belezanaweb.com.br/mantecorp-episol-intense-bruma-fps-50-protetor-solar-facial-200ml/";"95,90";"Protetor Solar Facial. Mantecorp Episol Intense Bruma FPS 50 em spray, fácil de aplicar e com rápida absorção na pele. Possui ação hidratante e antioxidante.O Protetor Solar Facial Mantecorp Episol Intense Bruma FPS 50 possui alta proteção solar e pode ser usado em pele molhada. Sua textura é leve e possui um acabamento invisível.";"Protetor de fácil aplicação e não gruda na pele. É perfeito. Ótima escolha.";"5";"23/08/2024 21:43:54";17.2;77;1;26.3;32;1;31.3;49;1;15.3;77;1;27;54;1
" Vichy  Capital Soleil Hydra-Matte FPS50 - Protetor Solar Facial 30ml ";" Vichy ";"https://www.belezanaweb.com.br/vichy-capital-soleil-hydramatte-fps50-protetor-solar-facial-30ml/";"47,90";"Protetor solar para todos os tipos de pele, especialmente oleosas. Vichy Capital Soleil Hydra-Matte FPS50 protege e hidrata com efeito matte por até 12 horas.O Protetor Solar Vichy Capital Soleil Hydra-Matte FPS50 garante máxima proteção contra os nocivos raios UVA e UVB, com fórmula textura leve e resistente à água. Além disso, garante uma aparência bonita, com total na saúde para sua derme.";"Muito bom! Excelente para peles oleosas";"4.8";"23/08/2024 21:43:54";17.2;77;1;26.3;32;1;31.3;49;1;15.3;77;1;27;54;1
" Vichy  Capital Soleil Hydra-Matte FPS50 - Protetor Solar Facial 30ml ";" Vichy ";"https://www.belezanaweb.com.br/vichy-capital-soleil-hydramatte-fps50-protetor-solar-facial-30ml/";"47,90";"Protetor solar para todos os tipos de pele, especialmente oleosas. Vichy Capital Soleil Hydra-Matte FPS50 protege e hidrata com efeito matte por até 12 horas.O Protetor Solar Vichy Capital Soleil Hydra-Matte FPS50 garante máxima proteção contra os nocivos raios UVA e UVB, com fórmula textura leve e resistente à água. Além disso, garante uma aparência bonita, com total na saúde para sua derme.";"Minha pele é mista, espera que fosse mais mate. Na verdade acho que senti falta do “oil control” estou acostjmada a usar o roc minesol, mas é bom, se quer efeito mate mesmo opte por outro. Num geral não irrita, não deixa pele branca e sinto que hidrata.";"4.8";"23/08/2024 21:43:54";17.2;77;1;26.3;32;1;31.3;49;1;15.3;77;1;27;54;1
" Vichy  Capital Soleil Hydra-Matte FPS50 - Protetor Solar Facial 30ml ";" Vichy ";"https://www.belezanaweb.com.br/vichy-capital-soleil-hydramatte-fps50-protetor-solar-facial-30ml/";"47,90";"Protetor solar para todos os tipos de pele, especialmente oleosas. Vichy Capital Soleil Hydra-Matte FPS50 protege e hidrata com efeito matte por até 12 horas.O Protetor Solar Vichy Capital Soleil Hydra-Matte FPS50 garante máxima proteção contra os nocivos raios UVA e UVB, com fórmula textura leve e resistente à água. Além disso, garante uma aparência bonita, com total na saúde para sua derme.";"Estou amanado usar ele, tem um toque bem seco, que era o que eu estava procurando para um protetor solar de rosto, esse é o que mais estou gostando de usar pois cumpre com o prometido!";"4.8";"23/08/2024 21:43:54";17.2;77;1;26.3;32;1;31.3;49;1;15.3;77;1;27;54;1
