"prod_descricao";"prod_marca";"prod_URL";"prod_price";"prod_detalhe";"prod_comentario";"prod_avaliacao";"prod_dataref";"spo-temp";"spo-umid";"spo-uv";"bra-temp";"bra-umid";"bra-uv";"pve-temp";"pve-umid";"pve-uv";"flo-temp";"flo-umid";"flo-uv";"rj-temp";"rj-umid";"rj-uv"
"Protetor Solar Facial com Cor La Roche-Posay Anthelios Ultra Cover FPS60 - 5.0";"Marca La Roche-Posay";"https://b.us5.us.criteo.com/rm?dest=https%3a%2f%2fwww.epocacosmeticos.com.br%2fprotetor-solar-facial-com-cor-la-roche-posay-anthelios-ultra-cover-fps60%2fp%3fidsku%3d72065&sig=1-29XiXViNh9xYVqJFk7PpaD1gC_64oqbAJqvps3G1MYM&rm_e=a3qdvhippjsWnpqdT_AUKhcZgQwB3muSkgLemgJt85QdS-0lmvMRWMRuWvwwLhImac1Dig9tvtW3_29PccijB2cOqe0LvYTGu4OYDPV0gfshAMp14LGOatl1djBT0OaeZmMevgZvd2xQo-a-JnTEYZe8xEiSAgrt1KgepjqOoHiNA-QQIkC1p8dt5FHvQglGULK3T1EK9FT4S4nJqplCifisOOscFNoveMnXLXRkFP0my-9BvfGQiqKmuXACYcJX9C-prtdvKW82KyFrdDNl1g0huLOR965SQslVtgc7vcmz1R7I9r6_TlhqZz34qs9suIXlAbDKSdspBupeFLoVEYltIeZ1_gjIcxD8QgXPri5ilrGohvMHonZhRd5STmZqKEjqYa0jKn6kNbfk8WzQam_XP4tUHRhBCDjaLe6eXthw_GcPhOMnCg3_6v5wjNAi&ev=4";"80,90";"Brinde Card Sample Banderas Icon Woman 1Un (Imagem Ilustrativa)";"SEM COMENTARIOS";0;"2024-09-18 11:27:10.849791";19.2;64;7;28.2;40;8;31.4;52;10;21;69;5;24.1;61;8
"Protetor Solar La Roche Posey Anthelios Airlicium+ FPS80 - 40g";"Marca La Roche-Posay";"https://b.us5.us.criteo.com/rm?dest=https%3a%2f%2fwww.epocacosmeticos.com.br%2fprotetor-solar-la-roche-posey-anthelios-airlicium-fps80%2fp%3fidsku%3d71248&sig=1-o96knjDt1rMCNMu2aM-61mj0c3-_b2GgOMcpLpH1SMU&rm_e=xn9Dtdr49tDNU8h7KpTDe9EZ6W2F4_BJ4jBSGqFLlMPCOD9yqWuomyzwOPCmj5Z3YTr2FEaKGoC9oMWUZr6t6msHWmqWsuT_EQUPeov22oa60T06-9r3W5VJ7xFcIQpXXj_ZRH24Rby7WV-JLUh8kjuzH7jIV92GeYr8qDlg3BkPbgPkLuEvBviQHynKZ8PgtdkUhnPk2-U3xOqvA6GejKV5STIlKgeKL7s_ZXK4DsU7PU8i7AjQqg3YWGWiRFR0G9W9tQBxRTGnb4VZMM9xYLOR_Q2T4jcv6jkXy3YmtRFWv4gkUjdQZWOw0soCT8L-chCTZ8APIyO8vOP7Q8Tu7f0QThKzTl3kUdZvlTG9cRzlszUmWug8EpoqnZw2NOXDIYAdtUBoXTYK9Q-N7z_vRsAJvZ_7inkmeYEWHc-1O7jnVvyfi9svwcLMrViDzyIK&ev=4";"74,90";"Brinde Card Sample Banderas Icon Woman 1Un (Imagem Ilustrativa)";"SEM COMENTARIOS";0;"2024-09-18 11:27:10.849791";19.2;64;7;28.2;40;8;31.4;52;10;21;69;5;24.1;61;8
"Protetor Solar Facial Isdin - Fotop Fusion Water 5 Stars FPS60 - 50ml";"Marca Isdin";"https://recs.algorecs.com/rrserver/api/find/v1/track/click/c85912f892c73e30?a=c85912f892c73e30&vg=fb006388-7421-4d39-4f77-7c6481615c76&pti=2&pa=find&hpi=0&stn=PersonalizedProductSearchAndBrowse&stid=184&rti=2&sgs=&u=&mvtId=-1&mvtTs=1726669624217&uguid=fafe6388-7421-4d39-4f77-7c6481615c76&channelId=WEB&s=fde86c9c-3508-4ee2-a198-561a3c46d33e&pg=-1&page=1&query=protetor+solar+facial&lang=pt&searchConfigId=5b44b8a0947195000ef22caf&searchType=CATALOG&p=41501&ind=0&ct=https%3A%2F%2Fwww.epocacosmeticos.com.br%2Fprotetor-solar-facial-isdin-fotop-fusion-water-5-stars-fps60%2Fp&redirect=true";"99,00";"Protetor Solar Fotop Fusion Water 5 Stars Fps60:

Isdin Fusion Water 5 Stars é um protetor solar facial especialmente criado para o uso diário. Com FPS 60 garante muito alta proteção.
Elevada Proteção UV: proteção solar facial ideal para uso diário e atividades ao ar livre.

Benefícios:
Não irrita os olhos: testado oftalmologicamente.
Tolerância ótima: Textura ultraleve de absorção imediata e controle da oleosidade da pele sem deixar resíduos.
Sea Friendly: Fórmula composta principalmente por ingredientes biodegradáveis e / ou inorgânicos.

Indicação:
Adequado para todos os tipos de pele.

Modo de usar:
Aplique generosamente sobre a pele seca meia hora antes da exposição solar. É necessária a reaplicação do produto para manter a sua efetividade a cada 2 horas e depois de transpirar, nadar, banhar-se ou secar-se com uma toalha e durante a exposição ao sol.
Se a quantidade aplicada não for adequada, o nível de proteção será significativamente reduzido.""
Wet Skin: Pode ser aplicado sobre a pele molhada.";"Clecia V.
10/09/2024
Produto perfeito super sequinho nada de oleosidade
Esta avaliação foi útil?
0
Cleide N.
05/08/2024
FPS fluido, leve e controla oleosidade
Este protetor solar é excelente! Tem uma textura super fluida que deixa a pele limpa e sem oleosidade. O produto desaparece na pele sem deixá-la esbranquiçada e controla a oleosidade na medida certa. A fragrância é suave e deliciosa. O rendimento é ótimo, mesmo usando bastante. A embalagem é prática, permitindo controlar a quantidade aplicada, e não vaza, mesmo sendo carregada na bolsa. Compro a embalagem de 100ml, que dura cerca de 4 meses, aplicando de 2 a 3 vezes por dia. Para quem está na dúvida, recomendo muito. É o melhor protetor solar que já usei para minha pele madura, com 40+ anos e acne.
Sim, eu recomendo este produto
Esta avaliação foi útil?
0
Ana b.
26/07/2024
Transportadora péssima
Meu produto não chegou. Entrega péssima, transportadora péssima comunicação péssima. Péssimo péssimo péssimo
Esta avaliação foi útil?
0
Gabrielli R.
19/06/2024
Perfeito e fluido,l
Uso ele sempre, ótimo para pele oleosa
Sim, eu recomendo este produto
Esta avaliação foi útil?
0";4.8;"2024-09-18 11:27:10.849791";19.2;64;7;28.2;40;8;31.4;52;10;21;69;5;24.1;61;8
"Protetor Solar Facial ISDIN Fusion Water 5 Stars Color FPS50 - Escura";"Marca Isdin";"https://recs.algorecs.com/rrserver/api/find/v1/track/click/c85912f892c73e30?a=c85912f892c73e30&vg=fb006388-7421-4d39-4f77-7c6481615c76&pti=2&pa=find&hpi=0&stn=PersonalizedProductSearchAndBrowse&stid=184&rti=2&sgs=&u=&mvtId=-1&mvtTs=1726669624217&uguid=fafe6388-7421-4d39-4f77-7c6481615c76&channelId=WEB&s=fde86c9c-3508-4ee2-a198-561a3c46d33e&pg=-1&page=1&query=protetor+solar+facial&lang=pt&searchConfigId=5b44b8a0947195000ef22caf&searchType=CATALOG&p=45954&ind=1&ct=https%3A%2F%2Fwww.epocacosmeticos.com.br%2Fprotetor-solar-com-cor-isdin-fotoprotector-fusion-water-5-stars-color-fps50%2Fp&redirect=true";"95,12";"Fotoprotector ISDIN Fusion Water 5 Stars Color FPS50: 

Fotoprotetor facial com cor FPS 50 de textura ultraleve à base de água de uso diário. Fusion Water 5 Stars Color (cor média) uniformiza o tom da pele, disfarça as imperfeições e proporciona cobertura natural. 

Benefícios: 
- Elevada proteção UV FPS 50 avaliada clinicamente em laboratório e em condições reais de alta radiação solar. 
- Não irrita os olhos, testado oftalmologicamente.
- Tolerância ótima com textura ultraleve de absorção imediata e controle da oleosidade da pele sem deixar resíduos.
- Wet skin, pode ser aplicado na pele molhada.
- Sea Friendly, fórmula com a maioria dos ingredientes biodegradáveis e/ou inorgânicos.

Indicação:
- Indicado para todos os tipos de pele.
- Cor média.

Modo de Usar: 
Aplique abundantemente sobre a pele seca ou úmida meia hora antes da exposição solar. No caso de uso como parte da maquiagem, como contém pigmentos para garantir uma cobertura das imperfeições, recomenda-se aplicar sobre a pele seca. Se a quantidade aplicada não for adequada, o nível de proteção será significativamente reduzido.";"Marcia S.
17/09/2024
laboratório de ponta (ISDIN) e produto de qualidade
Super fluído, fica muito natural na pele. Fornece um glow lindo
Sim, eu recomendo este produto
Esta avaliação foi útil?
0
Rogério S.
17/09/2024
Achei ótimo! Leve, fluido, confortável na pele, não fica oleoso, seca rápido, não esfarelou, porém a cobertura é bem leve, fica só uma aparência de pele saudável.
Sim, eu recomendo este produto
Esta avaliação foi útil?
0
Andrea V.
10/09/2024
Todos os produtos deveriam vir com lacre!!!
Não recomendo a aquisição porque a caixa do produto veio sem lacre!!!
Não, eu não recomendo este produto
Esta avaliação foi útil?
0
Monzielly P.
30/08/2024
Excelente qualidade e uso a muito tempo
Sim, eu recomendo este produto
Esta avaliação foi útil?
0";4.7;"2024-09-18 11:27:10.849791";19.2;64;7;28.2;40;8;31.4;52;10;21;69;5;24.1;61;8
"Protetor Solar Facial Com Cor Pink Stick FPS90 - 5km";"Marca Pink Cheeks";"https://recs.algorecs.com/rrserver/api/find/v1/track/click/c85912f892c73e30?a=c85912f892c73e30&vg=fb006388-7421-4d39-4f77-7c6481615c76&pti=2&pa=find&hpi=0&stn=PersonalizedProductSearchAndBrowse&stid=184&rti=2&sgs=&u=&mvtId=-1&mvtTs=1726669624217&uguid=fafe6388-7421-4d39-4f77-7c6481615c76&channelId=WEB&s=fde86c9c-3508-4ee2-a198-561a3c46d33e&pg=-1&page=1&query=protetor+solar+facial&lang=pt&searchConfigId=5b44b8a0947195000ef22caf&searchType=CATALOG&p=10387&ind=2&ct=https%3A%2F%2Fwww.epocacosmeticos.com.br%2Fpink-stick-fps-60-pink-cheeks-protetor-solar-facial%2Fp&redirect=true";"107,91";"Protetor Solar com cor FPS90 FPUVA70 Pink Stick 14g
É um protetor solar facial, em formato bastão, prático e multifuncional que alia alta proteção, tratamento, beleza e praticidade. 

Ideal para ser usado como um protetor solar diário e, especialmente, durante a prática de exercícios físicos ao ar livre, já que é resistente à água e ao suor. Não escorre e não arde os olhos. Devido ao seu alto fator de proteção, seu uso contínuo auxilia na prevenção e redução dos sinais de envelhecimento, e no tratamento de manchas na pele, como o melasma. Seu pigmento atua formando mais uma barreira de proteção na pele, contra a luz visível.

 Possui textura e sensorial agradáveis, pigmentação leve, ideal para uniformizar sua pele. Fórmula enriquecida com vitamina E, potentes antioxidantes associados que combatem os radicais livres e o envelhecimento cutâneo, reduzindo rugas e linhas de expressão. Disponível em 8 tonalidades que se adaptam a diversas tonalidades de pele. 

As tonalidades são definidas como ""quilometragens"" - 5km, 10km, 15km, 21km, 42km 42km Rio, 60km Ultra, 80km Ultra e 100km Ultra. Apenas como forma de diferenciar as cores. Estas ""distâncias"" não significam o tanto de quilometragem que a pessoa precisa fazer para usar.

Como o Pink Stick funciona
O Pink Stick é composto por filtros químicos nobres e filtros físicos que se complementam para oferecer altíssima proteção contra os raios UVA e UVB do sol.
 Apenas com o protetor físico, não é possível obter a altíssima proteção FPS90 e FPUVA70. 
Os filtros químicos são formados por moléculas orgânicas capazes de absorver a radiação UV (alta energia) e transformá-la em radiações com energias menores e inofensivas ao ser humano. A combinação de diferentes tipos de filtros químicos amplia o espectro de ação dos filtros e torna a proteção mais segura e confiável. 
Os filtros físicos são representados pelo Dióxido de Titânio. Esses filtros representam a forma mais segura e eficaz de proteção, pois formam uma camada sobre a pele que reflete e/ou dispersa os raios UVA e UVB sem absorvê-los. Portanto, apresentam baixo potencial de irritação.

Dados Técnicos: 
Alta Proteção - FPS 90 FPUVA 70
Formato em bastão que facilita a aplicação
Indicado para todo tipo de pele
Textura e Cobertura leve e confortável
Rico em Vitamina E hidrata e uniformiza a pele
Não escorre com o suor e não arde os olhos
Produto resistente à água por 4 horas
Dermatologicamente testado
Produto Vegano e Livre de Parabenos
Não testado em animais

O Pink Stick foi submetido a testes de eficácia e segurança, realizados em laboratório credenciado - Kosmocience Ciência e Tecnologia Cosmética LTDA, onde ficaram comprovados os pontos abaixo:
Proteção contra os raios UVB, através do ensaio de Fator de Proteção Solar ou FPS;
Proteção contra os raios UVA, através do ensaio de Fator de Proteção UVA, PPD ou FPUVA;
Resistência de 100% a água até 4 horas de imersão;
Segurança do produto, através de teste de compatibilidade cutânea.

Modo de Usar: 
Aplique o protetor solar de maneira abundante por toda extensão do rosto, incluindo a região dos olhos. Após a aplicação, espalhe o produto com as mãos, esponja ou pincel para deixar com acabamento uniforme. É necessária a reaplicação do produto após a transpiração excessiva ou permanência prolongada na água, para manter a sua efetividade. Se a quantidade aplicada não for adequada, o nível de proteção será significativamente reduzido. Ajuda a prevenir as queimaduras solares.

Recomendações: 
Guarde sempre bem fechado, longe da luz e calor excessivo. Não deixe seu stick no carro. Leve com você! Recomendamos remover o protetor solar adequadamente, com demaquilante e/ou água e sabonete, preferencialmente com ácido salicílico (Face Bubbles). Em caso de irritação, suspender o uso e procurar orientação médica. Não deve ser ingerido. Mantenha fora do alcance de crianças. Conservar em local seco, em temperatura ambiente. USO EXTERNO.

Produto Vegano, livre de componentes de origem animal. Livre de Parabenos. Cruelty Free. A Pink Cheeks não realiza testes de seus produtos em animais.

Nossos testes são realizados em pessoas voluntárias, através de laboratórios credenciados. A ANVISA considera hipoalergênico os produtos que passaram por testes de sensibilização realizados em humanos em laboratórios especializados. Hipoalergênicos são produtos com menos chance de causar alergia. No entanto, não há garantias de que o produto não causará alergia em 100% das pessoas, já que cada pessoa tem uma reação diferente. A PINK CHEEKS não classifica este produto como hipoalergênico, uma vez que o produto não passou por testes. Você pode ter acesso à composição de todos os produtos da PINK CHEEKS através da página de cada produto em nosso site.";"Audrey s.
13/09/2024
Protetor solar com cor de baixa cobertura para o dia a dia.
Base de baixa cobertura protetor solar, perfeita para o dia a dia, nem sinto ela no meu rosto. Ela tem um glow, então tem que ser selada quando a pele é oleosa igual a minha, mas não me incomoda. Eu amei, melhor que muito stick caríssimo por ai. Ah, e é exatamente meu tom de pele (primeira base que encontro que deu esse match de tom). E o cheiro é perfeito, lembra um tutti frutti.
Sim, eu recomendo este produto
Esta avaliação foi útil?
0
Paula Q.
13/09/2024
Ele poderia ter uma cobertura maior Porque tenho melasma e não cobre.
Sim, eu recomendo este produto
Esta avaliação foi útil?
0
Jaylma S.
11/09/2024
A proteção e as substâncias
Ótima cobertura, pele seca sem brilho. Fácil de aplicar e alta proteção contra sol.
Sim, eu recomendo este produto
Esta avaliação foi útil?
0
Camila B.
11/09/2024
Maravilhoso! Não fico sem. O único que já usei que não sai com o suor.
Sim, eu recomendo este produto
Esta avaliação foi útil?
0";4.7;"2024-09-18 11:27:10.849791";19.2;64;7;28.2;40;8;31.4;52;10;21;69;5;24.1;61;8
"Protetor Solar Facial Bioré Perfect Milk 50 FPS - 40ml";"Marca Bioré";"https://recs.algorecs.com/rrserver/api/find/v1/track/click/c85912f892c73e30?a=c85912f892c73e30&vg=fb006388-7421-4d39-4f77-7c6481615c76&pti=2&pa=find&hpi=0&stn=PersonalizedProductSearchAndBrowse&stid=184&rti=2&sgs=&u=&mvtId=-1&mvtTs=1726669624217&uguid=fafe6388-7421-4d39-4f77-7c6481615c76&channelId=WEB&s=fde86c9c-3508-4ee2-a198-561a3c46d33e&pg=-1&page=1&query=protetor+solar+facial&lang=pt&searchConfigId=5b44b8a0947195000ef22caf&searchType=CATALOG&p=39331&ind=3&ct=https%3A%2F%2Fwww.epocacosmeticos.com.br%2Fprotetor-solar-facial-biore-perfect-milk-50-fps%2Fp&redirect=true";"55,90";"Novo Bioré UV Perfect Milk oferece alta proteção solar em textura macia e toque seco

 Bioré identificou uma enorme mudança no mercado brasileiro nos últimos 15 anos: antes os cuidados eram direcionados à pele do corpo; hoje, aumentou também o foco da preocupação com o rosto. 

Uma das etapas mais importantes desta rotina diária de cuidados faciais é a proteção solar, já que o sol pode causar danos à pele, como envelhecimento precoce, linhas de expressão, manchas e flacidez. 


Porém, esse cuidado ainda é muitas vezes ignorado no Brasil, já que o público brasileiro se queixa que os protetores com alto fator de proteção geralmente deixam a pele pegajosa e com aspecto oleoso. 

A solução de Bioré é focada em sensoriais únicos e oferece protetores solares com alta proteção UVA e UVB em texturas ultra leves e não pegajosas. Assim, Bioré, a marca de protetor solar n° 1 do Japão, traz o verdadeiro toque seco em proteção solar, para que as brasileiras possam usar todos os dias.
Com um textura macia e toque seco, que traz uma sensação confortável na pele, o Bioré UV Perfect Milk é um protetor solar facial e corporal com FPS 50 e alta proteção UVA. Assim como os outros protetores da linha Bioré, o Perfect Milk também é muito resistente à transpiração e à água.

Seus principais benefícios são: alta proteção UVA e UVB em textura macia e “sequinha”, resistência à transpiração e à água e sensação de pele macia e confortável.

 Como usar: 
Agite antes de usar. Depois aplique uniformemente na pele do rosto e do corpo, antes de se expor ao sol. Para remover, lave bem com sabonete; removedor de maquiagem é recomendado quando difícil de remover completamente. Deve ser reaplicado sempre após sudorese intensa, nadar ou banhar-se, secar-se com toalha e durante exposição ao sol.";"Luana L.
16/09/2024
Protetor excelente! Não deixa a pele oleosa, não fica branco na minha pele (negra), espalha bem, textura excelente.
Sim, eu recomendo este produto
Esta avaliação foi útil?
0
Ana p.
04/09/2024
Produto bom considerando o custo
Produto bem fluido, fácil de espalhar Com cheiro suave e não pegajoso Tenho pele mista, e controla um pouco em relação a oleosidade Porém na minha pele ficou bem esbranquiçado! Somente por esse fator fico em dúvidas sobre comprar novamente ou não Em relação ao valor, ele é um dos melhores que já usei nessa faixa de preço, só peca mesmo pelo fator esbranquiçado
Sim, eu recomendo este produto
Esta avaliação foi útil?
0
Roberta W.
29/08/2024
gosto muito da textura, é bem líquido e não deixa esbranquiçado
Sim, eu recomendo este produto
Esta avaliação foi útil?
0
JÉSSICA D.
27/08/2024
Super fluído! Gostei muito, deixo pra usar ele em dias de clima mais seco aqui em sp, dias humidos pesa um pouco a minha pele.
Esta avaliação foi útil?
0";4.8;"2024-09-18 11:27:10.849791";19.2;64;7;28.2;40;8;31.4;52;10;21;69;5;24.1;61;8
"Protetor Solar Neutrogena Sun Fresh Derm Care Facial FPS70 - 40g";"Marca Neutrogena";"https://recs.algorecs.com/rrserver/api/find/v1/track/click/c85912f892c73e30?a=c85912f892c73e30&vg=fb006388-7421-4d39-4f77-7c6481615c76&pti=2&pa=find&hpi=0&stn=PersonalizedProductSearchAndBrowse&stid=184&rti=2&sgs=&u=&mvtId=-1&mvtTs=1726669624217&uguid=fafe6388-7421-4d39-4f77-7c6481615c76&channelId=WEB&s=fde86c9c-3508-4ee2-a198-561a3c46d33e&pg=-1&page=1&query=protetor+solar+facial&lang=pt&searchConfigId=5b44b8a0947195000ef22caf&searchType=CATALOG&p=43330&ind=4&ct=https%3A%2F%2Fwww.epocacosmeticos.com.br%2Fprotetor-solar-neutrogena-sun-fresh-derm-care-facial-fps70%2Fp&redirect=true";"49,90";"Neutrogena Sun Fresh Derm Care Facial FPS 70 possui textura levinha e sequinha que não derrete. A exclusiva tecnologia Helioplex XP oferece muito alta proteção ampla e eficaz contra os raios UVB, UVA e ajuda a proteger contra a luz visível. Controla a oleosidade por 12 horas, disfarça poros, manchas solares e imperfeições da pele. Complexo antioxidante rejuvenescedor, clareia e previne manchas solares e efeito matte de longa duração.

Ativos: 
Com sílica que atua na oleosidade da pele; Complexo antiodixante rejuvenescedor formado por: 
• Niacinamida: ativo clareador de sinais causados pelo sol;
• Feverfew: poderoso antioxidante;
• Vitamina C: antioxidante;

Benefícios: 
• Controla a oleosidade por 12h;
• Disfarça poros;
• Complexo antioxidante rejuvenescedor;
• Clareia e previne manchas solares;
• Efeito matte de longa duração;
• Dermatologicamente testado;
• Não comedogênico e não obstrui poros;
• Textura leve, não pesa e não derrete.

Modo de usar: 
Aplique abundantemente antes da exposição ao sol. Reaplicar sempre, após sudorese intensa, nadar ou banhar-se, secar-se com toalha e durante a exposição ao sol. *É necessária a reaplicação do produto a cada 2 horas para manter a efetividade da proteção solar. Uso diário. Conservar em local fresco e ao abrigo da luz solar direta.

Precauções: 
Uso Externo. Evite contato com os olhos. Caso isso aconteça, enxágue-os com água em abundância. Descontinue o uso se surgirem irritações na pele. Se a quantidade aplicada não for adequada, o nível de proteção será significativamente reduzido. O produto ajuda a prevenir as queimaduras solares, mas não oferece nenhuma proteção contra insolação. Evite exposição prolongada das crianças ao sol. Para crianças menores de 6 (seis) meses, consultar um médico. Conserve fora do alcance das crianças. Em contato com tecido, pode causar manchas.";"SEM COMENTARIOS";0;"2024-09-18 11:27:10.849791";19.2;64;7;28.2;40;8;31.4;52;10;21;69;5;24.1;61;8
"Protetor Solar Facial Neutrogena Sun Fresh FPS 70 - 40ml";"Marca Neutrogena";"https://recs.algorecs.com/rrserver/api/find/v1/track/click/c85912f892c73e30?a=c85912f892c73e30&vg=fb006388-7421-4d39-4f77-7c6481615c76&pti=2&pa=find&hpi=0&stn=PersonalizedProductSearchAndBrowse&stid=184&rti=2&sgs=&u=&mvtId=-1&mvtTs=1726669624217&uguid=fafe6388-7421-4d39-4f77-7c6481615c76&channelId=WEB&s=fde86c9c-3508-4ee2-a198-561a3c46d33e&pg=-1&page=1&query=protetor+solar+facial&lang=pt&searchConfigId=5b44b8a0947195000ef22caf&searchType=CATALOG&p=46132&ind=5&ct=https%3A%2F%2Fwww.epocacosmeticos.com.br%2Fprotetor-solar-facial-neutrogena-sun-fresh-fps-70%2Fp&redirect=true";"51,90";"O que é e para que serve? 
Protetor Solar Facial Neutrogena Sun Fresh FPS70, 40g possui textura ultraleve e hidratante que não derrete e oferece alta proteção contra os raios UVA, UVB e ajuda a proteger contra a luz visível com sua exclusiva tecnologia HELIOPLEX XP. 

Com ativos ricos em propriedades hidratantes que deixam a pele macia, aveludada e preenchida e complexo antioxidante rejuvenescedor formado por Niacinamida, ativo clareador de sinais causados pelo sol, Feverfew e Vitamina C, poderosos antioxidantes. 

Melhora a firmeza e elasticidade da pele e possui textura não oleosa. Dermatologicamente testado e adequado para peles sensíveis.

Benefícios e diferenciais: 
Fórmula que não derrete/escorre com suor e umidade;
Deixa a pele aveludada e macia;
Devolve o brilho natural da pele saudável;
Melhora a firmeza e elasticidade da pele;
Deixa a sensação prolongada de pele hidratada;
Testado e aprovado para a pele sensível.

Como usar: 
Aplique abundantemente antes da exposição ao sol. Reaplicar sempre, após sudorese intensa, nadar ou banhar-se, secar-se com toalha e durante a exposição ao sol. É necessária a reaplicação do produto para manter a sua efetividade de proteção solar. Uso diário.

Precauções: 
Se a quantidade aplicada não for adequada, o nível de proteção será significativamente reduzido. Ajuda a prevenir as queimaduras solares, mas não oferece nenhuma proteção contra a insolação. Evite exposição prolongada das crianças ao sol. Produto de uso adulto. Evite contato com os olhos. Caso isso aconteça, enxágue-os com água em abundância. Em contato com tecido pode causar manchas. Conservar em local fresco e ao abrigo da luz solar direta.";"Marielza C.
21/08/2024
Já uso o protetor solar desta marca há muito tempo....deixa a pele seca e hidrata.
Sim, eu recomendo este produto
Esta avaliação foi útil?
0
Rose S.
17/07/2024
Não fica branco e não arde os olhos! Custo benefício excelente, amooooooooo
Sim, eu recomendo este produto
Esta avaliação foi útil?
0
Bruna O.
05/06/2024
Protetor é bom, barato e hidrata o rosto e não deixa pegajoso.
Sim, eu recomendo este produto
Esta avaliação foi útil?
0
Rosemeire V.
04/04/2024
Esse não veio na caixa, quando chegar eu poderei dizer o que achei.
Esta avaliação foi útil?
0";4.6;"2024-09-18 11:27:10.849791";19.2;64;7;28.2;40;8;31.4;52;10;21;69;5;24.1;61;8
"Protetor Solar Facial com Cor La Roche Posay – XL Protect FPS 60 - Morena Mais";"Marca La Roche-Posay";"https://recs.algorecs.com/rrserver/api/find/v1/track/click/c85912f892c73e30?a=c85912f892c73e30&vg=fb006388-7421-4d39-4f77-7c6481615c76&pti=2&pa=find&hpi=0&stn=PersonalizedProductSearchAndBrowse&stid=184&rti=2&sgs=&u=&mvtId=-1&mvtTs=1726669624217&uguid=fafe6388-7421-4d39-4f77-7c6481615c76&channelId=WEB&s=fde86c9c-3508-4ee2-a198-561a3c46d33e&pg=-1&page=1&query=protetor+solar+facial&lang=pt&searchConfigId=5b44b8a0947195000ef22caf&searchType=CATALOG&p=42232&ind=6&ct=https%3A%2F%2Fwww.epocacosmeticos.com.br%2Fprotetor-solar-facial-com-cor-la-roche-posay-xl-protect-fps-60%2Fp&redirect=true";"76,41";"Na compra desse produto, a cada um R$ 1,00 gasto você ganha 10 pontos.
Não é cadastrado? Cadastre-se
Não acumulativo com outras promoções e cupons de desconto (verifique a finalização da compra)";"Djanira F.
17/09/2024
Não recomendo pois a embalagem venho aberta e o correto seria vir lacrado.
Não, eu não recomendo este produto
Esta avaliação foi útil?
0
Luiz S.
11/09/2024
Melhor continuar com base e protetor incolor mesmo
Só tem 3 cores e a clara é muito alaranjada, ela esfarela quando espalha então não deixa uma cobertura bonita
Não, eu não recomendo este produto
Esta avaliação foi útil?
0
Melina S.
03/09/2024
Produtos bons entrega péssima
Os produtos são bons, o que deixou a desejar foi a entrega, o entregador simplesmente deixou o pacote na minha porta, correndo o risco de ser pego por terceiros, não gostei
Esta avaliação foi útil?
0
Raquel L.
26/08/2024
Quem é branca com subtom frio vai ficar meio laranjinha.
A cor 2.0 corresponde a clara, mas pra quem é branca com subtom frio vai ficar meio laranjinha. Não é resistente à água e quase não entrega cobertura, melhor comprar sem cor mesmo do que esse protetor com cor pq ele não cobre quase nada.
Não, eu não recomendo este produto
Esta avaliação foi útil?
0";4.7;"2024-09-18 11:27:10.849791";19.2;64;7;28.2;40;8;31.4;52;10;21;69;5;24.1;61;8
"Protetor Solar Facial ISDIN Foto Ultra Spot Prevent FPS 99 - 50ml";"Marca Isdin";"https://recs.algorecs.com/rrserver/api/find/v1/track/click/c85912f892c73e30?a=c85912f892c73e30&vg=fb006388-7421-4d39-4f77-7c6481615c76&pti=2&pa=find&hpi=0&stn=PersonalizedProductSearchAndBrowse&stid=184&rti=2&sgs=&u=&mvtId=-1&mvtTs=1726669624217&uguid=fafe6388-7421-4d39-4f77-7c6481615c76&channelId=WEB&s=fde86c9c-3508-4ee2-a198-561a3c46d33e&pg=-1&page=1&query=protetor+solar+facial&lang=pt&searchConfigId=5b44b8a0947195000ef22caf&searchType=CATALOG&p=27823&ind=7&ct=https%3A%2F%2Fwww.epocacosmeticos.com.br%2Ffotoprotetor-facial-isdin-fotoultra-spot-prevent-fps-99-%2Fp&redirect=true";"146,90 em 2x de R$ 73,45";"FotoUltra Spot Prevent FPS 99 é um protetor solar facial diário que previne alterações de pigmentação causadas pelo sol. Para todos os tipos de pele, inclusive peles sensíveis e reativas. 

Oferece um fator de proteção UVA 3 vezes maior do que o mínimo exigido para um fotoprotetor FPS 99. Excelente cosmeticidade com textura Fusion Fluid que se funde com a pele proporcionando uma aplicação diária agradável.

Indicado:
Adequado para prevenir o processo de aparecimentos de áreas escurecidas que podem ocorrer durante a gravidez. Adequado para pré e pós procedimentos estéticos.

Benefícios:
. Resistente à água. 
. Ideal para ser aplicado antes da maquiagem. 
. Não comedogênico. 
. Não acnegênico. 
. Hipoalergênico. 
. Muito alta proteção solar que ajuda a prevenir o aparecimento de marcas escuras devidas a exposição solar.

Ativo:
Ácido Hialurônico: que melhora a elasticidade da pele e Alantoínam que melhora a cicatrização pós procedimentos.

Tecnologia:
Textura Fusion Fluid: exclusiva fórmula que, através do calorf e da fricção durante a aplicação, se torna mais fluida e se funde com a pele. 

Modo de Usar:
Uso diário. Aplicar abundantemente sobre a pele seca, meia hora antes da exposição ao sol. Reaplicar de 2 em 2 horas, e após sudorese intensa, nadar ou banhar-se , secar-se com toalha e durante a exposição ao sol.";"SEM COMENTARIOS";0;"2024-09-18 11:27:10.849791";19.2;64;7;28.2;40;8;31.4;52;10;21;69;5;24.1;61;8
